DeviceNumber,TotalDistanceKM,TotalIdleEvents,TotalBrakes,TotalAccelerations,BrakesPer100KM,AccelerationsPer100KM,IdlePer100KM,RiskScore
device_1,516.8195675169466,353,186,144,35.98934941523882,27.862722127926826,68.3023674385984,18.957361634812784
device_10,204.96555926950353,584,270,146,131.7294480898542,71.23147933747673,284.9259173499069,69.93686754172738
device_2,505.3382836556387,251,233,156,46.10772774120102,30.870409989816988,49.669698124641435,18.676743077269713
device_3,47.219226705790916,119,31,22,65.65122337380038,46.59119078140673,252.01598649942727,50.781762677679744
device_4,77.36386584941623,168,109,100,140.89264904647018,129.25931105180752,217.15564256703658,70.26237694113094
device_5,7.668350944773671,21,0,0,0.0,0.0,273.8528811636151,36.01454105933949
device_6,696.1002304305862,279,173,159,24.852742814492036,22.84153819366609,40.08043494360276,12.63276644169959
device_7,1193.690392287933,302,86,54,7.2045482275487505,4.52378609636782,25.29969261302003,5.185400605431538
device_8,706.4557190729824,414,221,169,31.2829231943933,23.922235383947818,58.602399106239034,16.338238427009617
device_9,28.581624643269926,121,43,39,150.44631135104194,136.45130564396825,423.3489226389785,100.0
